released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify,class_label_apple_chart_category
2023,553,141381703,43,45,B,Major,80,89,83,31,0,8,4,3,2,True,4
2023,1474,133716286,48,58,C#,Major,71,61,74,7,0,10,4,2,1,True,3
2023,1397,140003974,94,91,F,Major,51,32,53,17,0,31,6,3,3,True,4
2019,7858,800840817,116,125,A,Major,55,58,72,11,0,11,15,3,3,True,4
2023,3133,303236322,84,87,A,Minor,65,23,80,14,63,11,6,2,3,True,3
2023,2186,183706234,67,88,C#,Major,92,66,58,19,0,8,24,3,3,True,4
2023,3090,725980112,34,43,F,Minor,67,83,76,48,0,8,3,2,3,True,4
2023,714,58149378,25,30,F,Major,67,26,71,37,0,11,4,3,1,True,2
2023,1096,95217315,60,48,C#,Minor,85,22,62,12,0,28,9,2,2,True,4
2023,2953,553634067,49,66,D,Minor,81,56,48,21,0,8,33,2,3,True,3
2023,2876,505671438,41,54,F#,Minor,57,56,72,23,0,27,5,2,1,True,4
2023,422,58255150,37,21,F,Minor,78,52,82,18,0,15,7,3,3,True,4
2023,12211,1316855716,300,745,C#,Major,71,65,68,6,0,3,7,1,2,True,4
2023,3528,387570742,80,182,D,Minor,51,32,43,83,0,9,3,2,2,True,3
2022,23575,2513188493,403,863,F#,Minor,52,66,73,34,0,31,6,2,3,True,3
2022,8109,1163093654,183,161,G#,Major,64,43,73,5,17,16,4,1,1,True,3
2023,2942,496795686,91,78,B,Minor,78,76,59,43,0,34,3,1,2,True,4
2023,873,30546883,80,95,F,Major,44,14,9,96,0,10,3,3,1,True,4
2023,2610,335222234,43,54,B,Major,86,67,66,14,0,12,16,2,1,True,2
2023,596,363369738,8,23,G,Major,63,36,73,0,0,36,4,2,2,True,3
2023,332,86444842,11,10,F,Minor,65,87,74,22,0,42,4,3,3,True,3
2023,516,52135248,73,42,F#,Major,69,82,76,6,0,6,3,3,2,True,3
2013,12859,1297026226,24,582,F#,Minor,48,44,42,12,2,11,3,1,3,True,2
2023,1313,200647221,17,32,F,Minor,85,81,67,26,0,12,5,2,3,True,3
2023,1945,115364561,74,87,C#,Major,85,83,68,7,0,36,20,3,1,True,3
2023,250,78300654,16,10,G,Minor,79,96,86,9,0,9,9,3,2,True,3
2022,7112,899183384,202,318,B,Major,80,82,80,43,0,14,4,2,2,True,3
2023,859,61245289,35,41,F#,Minor,81,74,71,14,0,56,4,3,2,True,3
2023,2420,429829812,52,15,F#,Major,52,52,68,46,0,15,4,1,3,True,3
2023,2988,127408954,0,143,B,Minor,67,78,85,2,0,33,5,2,2,True,5
2023,864,22581161,71,50,F,Minor,74,35,84,0,0,11,6,3,2,True,3
2023,266,52294266,20,13,F#,Major,56,63,87,39,0,11,5,3,3,True,3
2022,6036,843957510,113,245,C#,Minor,71,17,61,36,0,8,5,1,1,True,3
2022,9082,999748277,242,165,E,Major,64,51,63,12,0,19,5,4,1,True,3
2023,4284,618990393,115,184,E,Minor,72,61,63,67,0,9,28,1,3,True,3
2023,1150,123122413,22,34,C#,Major,81,63,68,11,0,11,4,3,2,True,1
