released_year,streams,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify
2023,141381703,B,Major,80,89,83,31,0,8,4,summer,2,True
2023,133716286,C#,Major,71,61,74,7,0,10,4,spring,1,True
2023,140003974,F,Major,51,32,53,17,0,31,6,summer,3,True
2019,800840817,A,Major,55,58,72,11,0,11,15,summer,3,True
2023,303236322,A,Minor,65,23,80,14,63,11,6,spring,3,True
2023,183706234,C#,Major,92,66,58,19,0,8,24,summer,3,True
2023,725980112,F,Minor,67,83,76,48,0,8,3,spring,3,True
2023,58149378,F,Major,67,26,71,37,0,11,4,summer,1,True
2023,95217315,C#,Minor,85,22,62,12,0,28,9,spring,2,True
2023,553634067,D,Minor,81,56,48,21,0,8,33,spring,3,True
2023,505671438,F#,Minor,57,56,72,23,0,27,5,spring,1,True
2023,58255150,F,Minor,78,52,82,18,0,15,7,summer,3,True
2023,1316855716,G,Major,71,65,68,6,0,3,7,winter,2,True
2023,387570742,D,Minor,51,32,43,83,0,9,3,spring,2,True
2022,2513188493,F#,Minor,52,66,73,34,0,31,6,spring,3,True
2022,1163093654,G#,Major,64,43,73,5,17,16,4,winter,1,True
2023,496795686,B,Minor,78,76,59,43,0,34,3,winter,2,True
2023,30546883,A,Major,44,14,9,96,0,10,3,summer,1,True
2023,335222234,B,Major,86,67,66,14,0,12,16,spring,1,True
2023,363369738,G,Major,63,36,73,0,0,36,4,spring,2,True
2023,86444842,F,Minor,65,87,74,22,0,42,4,summer,3,True
2023,52135248,F#,Major,69,82,76,6,0,6,3,summer,2,True
2013,1297026226,B,Minor,48,44,42,12,2,11,3,winter,3,True
2023,200647221,F,Minor,85,81,67,26,0,12,5,spring,3,True
2023,115364561,C#,Major,85,83,68,7,0,36,20,summer,1,True
2023,78300654,G,Minor,79,96,86,9,0,9,9,summer,2,True
2022,899183384,B,Major,80,82,80,43,0,14,4,spring,2,True
2023,61245289,F#,Minor,81,74,71,14,0,56,4,summer,2,True
2023,429829812,F#,Major,52,52,68,46,0,15,4,winter,3,True
2023,127408954,B,Minor,67,78,85,2,0,33,5,spring,2,True
2023,22581161,F,Minor,74,35,84,0,0,11,6,summer,2,True
2023,52294266,F#,Major,56,63,87,39,0,11,5,summer,3,True
2022,843957510,C#,Minor,71,17,61,36,0,8,5,winter,1,True
2022,999748277,E,Major,64,51,63,12,0,19,5,fall,1,True
2023,618990393,E,Minor,72,61,63,67,0,9,28,winter,3,True
2023,123122413,D,Major,81,63,68,11,0,11,4,summer,2,True
2023,188933502,F#,Major,61,39,73,37,0,11,3,spring,3,True
2014,1355959075,F,Major,75,57,68,9,0,13,6,winter,1,True
2014,786181836,D,Major,60,48,79,0,0,12,4,winter,1,True
2023,176553476,F,Minor,79,96,85,27,0,11,6,spring,2,True
2023,354495408,A,Minor,56,84,65,23,0,10,6,winter,3,True
2018,2808096550,D,Major,76,91,50,54,0,7,5,fall,1,True
2022,1109433169,G,Minor,56,38,97,4,0,35,4,summer,2,True
2017,1047101291,F#,Major,56,58,56,37,0,11,10,summer,1,True
2023,65156199,F,Major,77,75,58,52,0,23,25,summer,3,True
2020,570515054,F,Major,67,49,64,10,0,10,3,fall,2,True
2022,1085685420,E,Major,71,82,81,11,0,6,5,spring,3,True
2016,1647990401,C#,Minor,59,51,52,9,0,15,7,fall,3,True
2016,2565529693,G,Major,68,49,59,16,0,13,28,fall,3,True
2023,518745108,C#,Minor,53,50,53,23,0,44,7,winter,1,True
2023,107753850,A#,Minor,72,17,64,7,0,10,5,summer,2,True
2023,177740666,G,Major,60,23,91,0,0,12,3,spring,2,True
2023,153372011,F#,Minor,92,55,70,18,0,15,7,winter,2,True
2023,57876440,G,Minor,67,96,88,12,19,8,4,summer,2,True
2012,1813673666,E,Minor,45,13,54,70,0,9,4,fall,2,True
2019,3703895074,C#,Major,50,38,80,0,0,9,7,fall,3,True
2023,256483385,G,Minor,64,88,72,51,0,17,5,winter,3,True
2022,1214083358,G,Minor,84,85,68,58,0,22,4,spring,2,True
2023,16011326,F,Minor,86,42,72,59,0,9,19,summer,2,True
2020,812019557,A,Minor,61,53,58,55,0,27,4,summer,2,True
2023,111947664,B,Major,86,59,96,50,1,9,5,spring,2,True
2023,156338624,F,Major,70,86,81,25,0,25,5,winter,3,True
2022,720434240,D,Major,88,72,59,62,0,9,3,summer,1,True
2023,357925728,F,Minor,77,53,64,74,0,17,14,spring,1,True
2022,674072710,C#,Minor,90,40,59,0,0,10,29,fall,1,True
1999,1755214421,B,Major,43,28,66,0,0,23,3,winter,3,True
2022,404562836,G#,Major,64,10,62,7,0,48,7,fall,1,True
2022,373199958,A#,Minor,59,71,42,55,0,10,7,winter,3,True
